ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
383,UNIVERSITAS NEGERI SURABAYA,13832023,TEKNIK SIPIL,Sarjana Terapan,57.0,1715.0,30.1,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13723091,KEUANGAN DAN PERBANKAN,Diploma Tiga,105.0,3121.0,29.7,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811029,PSIKOLOGI,Sarjana,81.0,2349.0,29.0,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721064,PSIKOLOGI,Sarjana,87.0,2358.0,27.1,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821020,TEKNIK INFORMATIKA,Sarjana,84.0,2253.0,26.8,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811037,ILMU KOMUNIKASI,Sarjana,45.0,1205.0,26.8,Sangat Ketat
371,UNIVERSITAS JEMBER,13713069,PERPAJAKAN,Diploma Tiga,36.0,951.0,26.4,Sangat Ketat
371,UNIVERSITAS JEMBER,13713065,ADMINISTRASI KEUANGAN,Diploma Tiga,32.0,842.0,26.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821043,MANAJEMEN BISNIS,Sarjana,36.0,938.0,26.1,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721063,ILMU KOMUNIKASI,Sarjana,84.0,2187.0,26.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811013,TEKNIK BIOMEDIS,Sarjana,27.0,692.0,25.6,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721024,TEKNIK INDUSTRI,Sarjana,66.0,1670.0,25.3,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832021,MANAJEMEN INFORMATIKA,Sarjana Terapan,66.0,1668.0,25.3,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721089,KEWIRAUSAHAAN,Sarjana,32.0,810.0,25.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821010,TEKNIK INDUSTRI,Sarjana,60.0,1515.0,25.2,Sangat Ketat
371,UNIVERSITAS JEMBER,13713067,KEPERAWATAN KAMPUS LUMAJANG,Diploma Tiga,72.0,1808.0,25.1,Sangat Ketat
