ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
341,INSTITUT PERTANIAN BOGOR,13411029,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,30.0,348.0,11.6,Ketat
341,INSTITUT PERTANIAN BOGOR,13412051,TEKNOLOGI DAN MANAJEMEN PEMBENIHAN IKAN (KAMPUS SUKABUMI),Sarjana Terapan,21.0,242.0,11.5,Ketat
341,INSTITUT PERTANIAN BOGOR,13411016,TEKNOLOGI HASIL HUTAN,Sarjana,33.0,370.0,11.2,Ketat
341,INSTITUT PERTANIAN BOGOR,13411005,BIOLOGI,Sarjana,33.0,354.0,10.7,Ketat
342,UNIVERSITAS SILIWANGI,13421027,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,30.0,312.0,10.4,Ketat
342,UNIVERSITAS SILIWANGI,13421010,GIZI,Sarjana,72.0,737.0,10.2,Ketat
341,INSTITUT PERTANIAN BOGOR,13411028,PROTEKSI TANAMAN,Sarjana,30.0,303.0,10.1,Ketat
341,INSTITUT PERTANIAN BOGOR,13411010,KIMIA,Sarjana,36.0,360.0,10.0,Sedang
342,UNIVERSITAS SILIWANGI,13421008,KESEHATAN MASYARAKAT,Sarjana,88.0,856.0,9.7,Sedang
342,UNIVERSITAS SILIWANGI,13421025,SISTEM INFORMASI,Sarjana,52.0,492.0,9.5,Sedang
341,INSTITUT PERTANIAN BOGOR,13411022,TEKNOLOGI DAN MANAJEMEN PERIKANAN BUDIDAYA,Sarjana,36.0,324.0,9.0,Sedang
341,INSTITUT PERTANIAN BOGOR,13411030,TEKNOLOGI HASIL PERAIRAN,Sarjana,30.0,260.0,8.7,Sedang
341,INSTITUT PERTANIAN BOGOR,13411034,MATEMATIKA,Sarjana,33.0,276.0,8.4,Sedang
342,UNIVERSITAS SILIWANGI,13421007,INFORMATIKA,Sarjana,93.0,774.0,8.3,Sedang
342,UNIVERSITAS SILIWANGI,13421005,TEKNIK SIPIL,Sarjana,70.0,555.0,7.9,Sedang
342,UNIVERSITAS SILIWANGI,13421017,MANAJEMEN,Sarjana,172.0,1233.0,7.2,Sedang
342,UNIVERSITAS SILIWANGI,13421022,PENDIDIKAN BAHASA INDONESIA,Sarjana,80.0,561.0,7.0,Sedang
342,UNIVERSITAS SILIWANGI,13421003,AGROTEKNOLOGI,Sarjana,71.0,466.0,6.6,Sedang
342,UNIVERSITAS SILIWANGI,13421006,TEKNIK ELEKTRO,Sarjana,50.0,299.0,6.0,Sedang
341,INSTITUT PERTANIAN BOGOR,13411035,FISIKA,Sarjana,36.0,211.0,5.9,Sedang
342,UNIVERSITAS SILIWANGI,13421004,AGRIBISNIS,Sarjana,91.0,530.0,5.8,Sedang
342,UNIVERSITAS SILIWANGI,13421023,PENDIDIKAN BAHASA INGGRIS,Sarjana,95.0,464.0,4.9,Longgar
342,UNIVERSITAS SILIWANGI,13421018,AKUNTANSI,Sarjana,146.0,715.0,4.9,Longgar
342,UNIVERSITAS SILIWANGI,13421026,MANAJEMEN MUTU HALAL,Sarjana,32.0,143.0,4.5,Longgar
342,UNIVERSITAS SILIWANGI,13421002,PENDIDIKAN BIOLOGI,Sarjana,77.0,321.0,4.2,Longgar
342,UNIVERSITAS SILIWANGI,13421016,EKONOMI PEMBANGUNAN,Sarjana,142.0,558.0,3.9,Longgar
342,UNIVERSITAS SILIWANGI,13421014,PENDIDIKAN SEJARAH,Sarjana,92.0,356.0,3.9,Longgar
342,UNIVERSITAS SILIWANGI,13421021,ILMU POLITIK,Sarjana,100.0,358.0,3.6,Longgar
342,UNIVERSITAS SILIWANGI,13421013,PENDIDIKAN GEOGRAFI,Sarjana,76.0,270.0,3.6,Longgar
342,UNIVERSITAS SILIWANGI,13421001,PENDIDIKAN MATEMATIKA,Sarjana,80.0,271.0,3.4,Longgar
342,UNIVERSITAS SILIWANGI,13421011,PENDIDIKAN MASYARAKAT,Sarjana,77.0,261.0,3.4,Longgar
342,UNIVERSITAS SILIWANGI,13421012,PENDIDIKAN EKONOMI,Sarjana,77.0,260.0,3.4,Longgar
342,UNIVERSITAS SILIWANGI,13421015,PENDIDIKAN JASMANI,Sarjana,150.0,482.0,3.2,Longgar
342,UNIVERSITAS SILIWANGI,13421020,EKONOMI SYARIAH,Sarjana,108.0,295.0,2.7,Longgar
342,UNIVERSITAS SILIWANGI,13421009,PENDIDIKAN FISIKA,Sarjana,52.0,101.0,1.9,Longgar
341,INSTITUT PERTANIAN BOGOR,1,13411001,AGRIBISNIS,,45.0,,Longgar
341,INSTITUT PERTANIAN BOGOR,13411074,TEKNIK MESIN,Sarjana,18.0,,,Longgar
341,INSTITUT PERTANIAN BOGOR,13411076,TEKNIK KIMIA,Sarjana,18.0,,,Longgar
341,INSTITUT PERTANIAN BOGOR,13412073,PEMULIAAN TANAMAN DAN TEKNOLOGI BENIH,Sarjana Terapan,21.0,,,Longgar
342,UNIVERSITAS SILIWANGI,1,13421001,PENDIDIKAN MATEMATIKA,,80.0,,Longgar
342,UNIVERSITAS SILIWANGI,13421029,SAINS DATA,Sarjana,24.0,,,Longgar
342,UNIVERSITAS SILIWANGI,13421030,HUKUM BISNIS,Sarjana,56.0,,,Longgar
381,UNIVERSITAS AIRLANGGA,13813059,KEPERAWATAN,Diploma Tiga,60.0,5215.0,86.9,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13813045,BAHASA INGGRIS,Diploma Tiga,30.0,2489.0,83.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812046,KESELAMATAN DAN KESEHATAN KERJA,Sarjana Terapan,60.0,4783.0,79.7,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812062,FISIOTERAPI,Sarjana Terapan,36.0,2402.0,66.7,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831103,KEPERAWATAN,Sarjana,16.0,984.0,61.5,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13813047,PERPAJAKAN,Diploma Tiga,60.0,3620.0,60.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822033,TEKNIK SIPIL,Sarjana Terapan,42.0,2432.0,57.9,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832072,ADMINISTRASI NEGARA,Sarjana Terapan,75.0,4281.0,57.1,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812064,TEKNIK INFORMATIKA,Sarjana Terapan,36.0,2051.0,57.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13812051,TEKNOLOGI LABORATORIUM MEDIK,Sarjana Terapan,45.0,2500.0,55.6,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831090,KEDOKTERAN,Sarjana,15.0,767.0,51.1,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732067,MANAJEMEN PEMASARAN,Sarjana Terapan,50.0,2519.0,50.4,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732068,AKUNTANSI,Sarjana Terapan,50.0,2479.0,49.6,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731086,KEPERAWATAN,Sarjana,16.0,762.0,47.6,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731085,KEDOKTERAN,Sarjana,16.0,745.0,46.6,Sangat Ketat
