ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
353,UNIVERSITAS SEBELAS MARET,13532098,KEPERAWATAN ANESTESIOLOGI,Sarjana Terapan,23.0,4427.0,192.5,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533089,FARMASI,Diploma Tiga,26.0,4952.0,190.5,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622083,TEKNIK SIPIL,Sarjana Terapan,12.0,2085.0,173.8,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533091,MANAJEMEN ADMINISTRASI,Diploma Tiga,27.0,3881.0,143.7,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13532033,KESELAMATAN DAN KESEHATAN KERJA,Sarjana Terapan,41.0,5660.0,138.0,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533078,PERPAJAKAN,Diploma Tiga,27.0,2883.0,106.8,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622082,TEKNIK MESIN,Sarjana Terapan,12.0,1265.0,105.4,Sangat Ketat
356,UNIVERSITAS NEGERI SEMARANG,13563073,STATISTIKA TERAPAN DAN KOMPUTASI,Diploma Tiga,12.0,1249.0,104.1,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533072,AKUNTANSI,Diploma Tiga,27.0,2705.0,100.2,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622086,ADMINISTRASI PERKANTORAN,Sarjana Terapan,36.0,3482.0,96.7,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13621094,KEDOKTERAN,Sarjana,15.0,1419.0,94.6,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612088,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,30.0,2598.0,86.6,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612091,BAHASA INGGRIS,Sarjana Terapan,23.0,1982.0,86.2,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612048,MANAJEMEN INFORMASI KESEHATAN,Sarjana Terapan,36.0,3057.0,84.9,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533090,BUDI DAYA TERNAK,Diploma Tiga,18.0,1520.0,84.4,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622089,PROMOSI KESEHATAN,Sarjana Terapan,12.0,981.0,81.8,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622080,TEKNIK ELEKTRO,Sarjana Terapan,12.0,978.0,81.5,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612115,BAHASA JEPANG UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,Sarjana Terapan,18.0,1453.0,80.7,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533082,AGRIBISNIS,Diploma Tiga,39.0,3140.0,80.5,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533083,TEKNIK KIMIA,Diploma Tiga,15.0,1162.0,77.5,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13532100,PEMASARAN DIGITAL,Sarjana Terapan,35.0,2690.0,76.9,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622079,AKUNTANSI,Sarjana Terapan,36.0,2636.0,73.2,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622084,TATA BOGA,Sarjana Terapan,33.0,2394.0,72.5,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612092,BISNIS PERJALANAN WISATA,Sarjana Terapan,27.0,1921.0,71.1,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611082,ILMU KOMUNIKASI,Sarjana,24.0,1668.0,69.5,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612090,PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,Sarjana Terapan,23.0,1569.0,68.2,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622085,MESIN OTOMOTIF,Sarjana Terapan,12.0,806.0,67.2,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622081,MANAJEMEN PEMASARAN,Sarjana Terapan,36.0,2407.0,66.9,Sangat Ketat
355,UNIVERSITAS DIPONEGORO,13551033,KEDOKTERAN GIGI,Sarjana,15.0,986.0,65.7,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612053,TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL,Sarjana Terapan,22.0,1436.0,65.3,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533073,KEBIDANAN,Diploma Tiga,27.0,1754.0,65.0,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612049,TEKNOLOGI REKAYASA PERANGKAT LUNAK,Sarjana Terapan,29.0,1828.0,63.0,Sangat Ketat
355,UNIVERSITAS DIPONEGORO,13551087,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,41.0,2565.0,62.6,Sangat Ketat
362,UNIVERSITAS NEGERI YOGYAKARTA,13622088,PENGELOLAAN USAHA REKREASI,Sarjana Terapan,12.0,724.0,60.3,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611006,KEDOKTERAN,Sarjana,53.0,3155.0,59.5,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13531027,FARMASI,Sarjana,24.0,1386.0,57.8,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13532101,PERBANKAN DAN KEUANGAN DIGITAL,Sarjana Terapan,40.0,2240.0,56.0,Sangat Ketat
353,UNIVERSITAS SEBELAS MARET,13533081,USAHA PERJALANAN WISATA,Diploma Tiga,27.0,1502.0,55.6,Sangat Ketat
352,UNIVERSITAS TIDAR,13523028,FARMASI,Diploma Tiga,40.0,2155.0,53.9,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611084,PSIKOLOGI,Sarjana,68.0,3601.0,53.0,Sangat Ketat
351,UNIVERSITAS JENDERAL SOEDIRMAN,13513040,ADMINISTRASI BISNIS,Diploma Tiga,48.0,2531.0,52.7,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611079,ILMU HUBUNGAN INTERNASIONAL,Sarjana,24.0,1248.0,52.0,Sangat Ketat
355,UNIVERSITAS DIPONEGORO,13551086,BISNIS DIGITAL,Sarjana,36.0,1873.0,52.0,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611045,TEKNOLOGI INFORMASI,Sarjana,29.0,1459.0,50.3,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13611064,MANAJEMEN,Sarjana,45.0,2262.0,50.3,Sangat Ketat
361,UNIVERSITAS GADJAH MADA,13612061,TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL,Sarjana Terapan,17.0,845.0,49.7,Sangat Ketat
356,UNIVERSITAS NEGERI SEMARANG,13561076,KEDOKTERAN,Sarjana,15.0,722.0,48.1,Sangat Ketat
