ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
321,UNIVERSITAS INDONESIA,13213074,HUBUNGAN MASYARAKAT,Diploma Tiga,30.0,4950.0,165.0,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231060,ILMU KOMUNIKASI,Sarjana,24.0,2780.0,115.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213076,AKUNTANSI,Diploma Tiga,30.0,3364.0,112.1,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232064,HUBUNGAN MASYARAKAT DAN KOMUNIKASI DIGITAL,Sarjana Terapan,45.0,4684.0,104.1,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213071,ADMINISTRASI RUMAH SAKIT,Diploma Tiga,30.0,3016.0,100.5,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213069,ADMINISTRASI PERPAJAKAN,Diploma Tiga,30.0,2965.0,98.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213075,PERIKLANAN KREATIF,Diploma Tiga,30.0,2943.0,98.1,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213072,PENYIARAN MULTIMEDIA,Diploma Tiga,30.0,2908.0,96.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213077,ADMINISTRASI KEUANGAN DAN PERBANKAN,Diploma Tiga,30.0,2767.0,92.2,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232070,SENI KULINER DAN PENGOLAHAN JASA MAKANAN,Sarjana Terapan,18.0,1638.0,91.0,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13243021,KEPERAWATAN,Diploma Tiga,35.0,3162.0,90.3,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212078,BISNIS KREATIF,Sarjana Terapan,47.0,4167.0,88.7,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13243022,FISIOTERAPI,Diploma Tiga,35.0,3007.0,85.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213070,ADMINISTRASI PERKANTORAN,Diploma Tiga,30.0,2389.0,79.6,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232069,MANAJEMEN PELABUHAN DAN LOGISTIK MARITIM,Sarjana Terapan,18.0,1333.0,74.1,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232074,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,44.0,3198.0,72.7,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212079,PRODUKSI MEDIA,Sarjana Terapan,47.0,3374.0,71.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211049,ILMU HUBUNGAN INTERNASIONAL,Sarjana,18.0,1281.0,71.2,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211040,KRIMINOLOGI,Sarjana,23.0,1583.0,68.8,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231019,SISTEM DAN TEKNOLOGI INFORMASI,Sarjana,18.0,1150.0,63.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212067,FISIOTERAPI,Sarjana Terapan,47.0,2905.0,61.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13213073,ADMINISTRASI ASURANSI & AKTUARIA,Diploma Tiga,30.0,1846.0,61.5,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231015,ILMU KOMPUTER,Sarjana,24.0,1437.0,59.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211037,ILMU KOMUNIKASI,Sarjana,44.0,2412.0,54.8,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13243024,SISTEM INFORMASI,Diploma Tiga,70.0,3829.0,54.7,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232072,KOSMETIK DAN PERAWATAN KECANTIKAN,Sarjana Terapan,27.0,1447.0,53.6,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231077,ILMU HUKUM,Sarjana,30.0,1554.0,51.8,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232075,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,44.0,2158.0,49.0,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13241029,"KAJIAN FILM, TELEVISI, DAN MEDIA",Sarjana,20.0,974.0,48.7,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211027,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,27.0,1287.0,47.7,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212065,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,47.0,2219.0,47.2,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212068,MANAJEMEN REKOD DAN ARSIP,Sarjana Terapan,47.0,2188.0,46.6,Sangat Ketat
321,UNIVERSITAS INDONESIA,13212066,TERAPI OKUPASI,Sarjana Terapan,47.0,2173.0,46.2,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231062,BISNIS DIGITAL,Sarjana,54.0,2408.0,44.6,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13243026,AKUNTANSI,Diploma Tiga,60.0,2606.0,43.4,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232071,DESAIN MODE,Sarjana Terapan,18.0,782.0,43.4,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13243025,PERBANKAN DAN KEUANGAN,Diploma Tiga,60.0,2578.0,43.0,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232073,PEMASARAN DIGITAL,Sarjana Terapan,44.0,1889.0,42.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211064,BISNIS ISLAM,Sarjana,15.0,625.0,41.7,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211023,ARSITEKTUR INTERIOR,Sarjana,15.0,621.0,41.4,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211058,SASTRA INGGRIS,Sarjana,24.0,969.0,40.4,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231050,AKUNTANSI,Sarjana,59.0,2350.0,39.8,Sangat Ketat
324,"UPN ""VETERAN"" JAKARTA",13241011,FARMASI,Sarjana,30.0,1126.0,37.5,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211001,PENDIDIKAN DOKTER,Sarjana,90.0,3330.0,37.0,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211055,SASTRA CINA,Sarjana,24.0,881.0,36.7,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231049,MANAJEMEN,Sarjana,71.0,2601.0,36.6,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211042,ILMU KESEJAHTERAAN SOSIAL,Sarjana,24.0,873.0,36.4,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13232065,USAHA PERJALANAN WISATA,Sarjana Terapan,36.0,1297.0,36.0,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211045,ILMU ADMINISTRASI NIAGA,Sarjana,50.0,1799.0,36.0,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211062,BAHASA DAN KEBUDAYAAN KOREA,Sarjana,17.0,610.0,35.9,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231052,PENDIDIKAN TATA BOGA,Sarjana,18.0,644.0,35.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211036,ILMU PSIKOLOGI,Sarjana,99.0,3506.0,35.4,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211013,ARSITEKTUR,Sarjana,24.0,824.0,34.3,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231018,TEKNIK MESIN,Sarjana,27.0,926.0,34.3,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211054,SASTRA JEPANG,Sarjana,24.0,821.0,34.2,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211038,ILMU POLITIK,Sarjana,24.0,819.0,34.1,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211025,GIZI,Sarjana,20.0,645.0,32.2,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211047,MANAJEMEN,Sarjana,90.0,2782.0,30.9,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211021,TEKNIK KOMPUTER,Sarjana,33.0,1018.0,30.8,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211048,AKUNTANSI,Sarjana,90.0,2720.0,30.2,Sangat Ketat
321,UNIVERSITAS INDONESIA,13211032,TEKNIK BIOMEDIS,Sarjana,15.0,447.0,29.8,Sangat Ketat
323,UNIVERSITAS NEGERI JAKARTA,13231017,REKAYASA KESELAMATAN KEBAKARAN,Sarjana,18.0,536.0,29.8,Sangat Ketat
311,UNIVERSITAS SULTAN AGENG TIRTAYASA,13111020,KEDOKTERAN,Sarjana,28.0,818.0,29.2,Sangat Ketat
